OrderID,Customer,Product,Category,Price,City
1111,David,Coffee Mug,Home,350,Lucknow
1112,Noah,Book,Books,450,Pune
1113,Kiran,Shoes,Fashion,2500,Pune
1114,Eva,Headphones,Electronics,1800,Delhi
1115,Kiran,T-Shirt,Fashion,800,Bengaluru
1116,Frank,Headphones,Electronics,1800,Kolkata
1117,Charlie,Mouse,Electronics,700,Chennai
1118,Jack,Laptop,Electronics,55000,Jaipur
1119,Grace,Book,Books,450,Bengaluru
1120,Olivia,Mouse,Electronics,700,Pune
1121,Liam,T-Shirt,Fashion,800,Jaipur
1122,Olivia,Laptop,Electronics,55000,Bengaluru
1123,Grace,Shoes,Fashion,2500,Delhi
1124,Frank,Book,Books,450,Delhi
1125,Eva,T-Shirt,Fashion,800,Jaipur
1126,Liam,Book,Books,450,Chennai
1127,David,Backpack,Fashion,2200,Jaipur
1128,Jack,Headphones,Electronics,1800,Chennai
1129,Noah,Headphones,Electronics,1800,Kolkata
1130,David,T-Shirt,Fashion,800,Jaipur
1131,Kiran,Water Bottle,Home,300,Hyderabad
1132,Henry,Coffee Mug,Home,350,Pune
1133,Mia,Backpack,Fashion,2200,Mumbai
1134,Ivy,Mouse,Electronics,700,Hyderabad
1135,Kiran,Mouse,Electronics,700,Chennai
1136,Charlie,Shoes,Fashion,2500,Kolkata
1137,Henry,Laptop,Electronics,55000,Delhi
1138,Olivia,Coffee Mug,Home,350,Pune
1139,Grace,Headphones,Electronics,1800,Pune
1140,Olivia,Keyboard,Electronics,1500,Delhi
1141,Charlie,Headphones,Electronics,1800,Bengaluru
1142,Ivy,Coffee Mug,Home,350,Pune
1143,Charlie,Mouse,Electronics,700,Lucknow
1144,Jack,Backpack,Fashion,2200,Hyderabad
1145,Noah,Coffee Mug,Home,350,Bengaluru
1146,Henry,Headphones,Electronics,1800,Mumbai
1147,Eva,Coffee Mug,Home,350,Pune
1148,Henry,T-Shirt,Fashion,800,Pune
1149,Bob,T-Shirt,Fashion,800,Chennai
1150,Frank,Shoes,Fashion,2500,Hyderabad
1151,Charlie,Backpack,Fashion,2200,Mumbai
1152,Liam,Shoes,Fashion,2500,Mumbai
1153,Grace,Shoes,Fashion,2500,Jaipur
1154,Henry,Book,Books,450,Jaipur
1155,Noah,Laptop,Electronics,55000,Jaipur
1156,Liam,Headphones,Electronics,1800,Kolkata
1157,Henry,Water Bottle,Home,300,Kolkata
1158,Mia,Book,Books,450,Jaipur
1159,Liam,Headphones,Electronics,1800,Bengaluru
1160,Henry,Water Bottle,Home,300,Pune
1161,Henry,T-Shirt,Fashion,800,Kolkata
1162,Kiran,Headphones,Electronics,1800,Jaipur
1163,Olivia,Keyboard,Electronics,1500,Mumbai
1164,Alice,Water Bottle,Home,300,Jaipur
1165,Kiran,Water Bottle,Home,300,Kolkata
1166,Charlie,Mouse,Electronics,700,Lucknow
1167,Eva,Keyboard,Electronics,1500,Jaipur
1168,Henry,Book,Books,450,Hyderabad
1169,Eva,Book,Books,450,Jaipur
1170,Henry,T-Shirt,Fashion,800,Kolkata
1171,Frank,Backpack,Fashion,2200,Pune
1172,Mia,Mouse,Electronics,700,Kolkata
1173,Noah,Shoes,Fashion,2500,Kolkata
1174,David,Water Bottle,Home,300,Mumbai
1175,Jack,Coffee Mug,Home,350,Pune
1176,Mia,Coffee Mug,Home,350,Hyderabad
1177,Jack,Keyboard,Electronics,1500,Delhi
1178,Bob,Keyboard,Electronics,1500,Kolkata
1179,Kiran,T-Shirt,Fashion,800,Jaipur
1180,Bob,Headphones,Electronics,1800,Pune
1181,Noah,Mouse,Electronics,700,Delhi
1182,Frank,Water Bottle,Home,300,Bengaluru
1183,Bob,Headphones,Electronics,1800,Bengaluru
1184,Noah,Book,Books,450,Jaipur
1185,Grace,Coffee Mug,Home,350,Hyderabad
1186,Grace,Coffee Mug,Home,350,Mumbai
1187,Jack,Backpack,Fashion,2200,Bengaluru
1188,Grace,Coffee Mug,Home,350,Chennai
1189,Noah,Book,Books,450,Delhi
1190,David,T-Shirt,Fashion,800,Lucknow
1191,Kiran,Water Bottle,Home,300,Jaipur
1192,Henry,Book,Books,450,Hyderabad
1193,David,Keyboard,Electronics,1500,Hyderabad
1194,Eva,T-Shirt,Fashion,800,Chennai
1195,Ivy,Backpack,Fashion,2200,Pune
1196,Liam,Mouse,Electronics,700,Jaipur
1197,Mia,Coffee Mug,Home,350,Pune
1198,Henry,Coffee Mug,Home,350,Kolkata
1199,David,Mouse,Electronics,700,Jaipur
1200,Kiran,Shoes,Fashion,2500,Hyderabad
